frag.id,days,time.point,notes,light.level,genotype,big.tank,tank,Dry.Weigh.g,propD,dom,mix,mortality
137,60,T2,NA,High Shade,878,17,16,2.293109777884841,NA,D,NA,100
138,31,T1,,Natural,877,14,5,4.008118654294797,NA,C,NA,0
138,60,T2,NA,Natural,877,14,5,4.258700282052,0,C,C,0
138,0,T0,NA,Natural,877,14,5,3.8988050958858036,0,C,C,0
139,0,T0,NA,Low Shade,877,17,14,3.4175244394409736,0,C,C,5
139,31,T1,,Low Shade,877,17,14,3.458022730641966,NA,C,NA,0
139,60,T2,NA,Low Shade,877,17,14,3.53871673064674,0,C,C,0
140,31,T1,,Medium Shade,877,16,11,2.5864871073597517,NA,C,NA,0
140,60,T2,NA,Medium Shade,877,16,11,2.5843440951973498,NA,C,NA,0
140,0,T0,NA,Medium Shade,877,16,11,2.5681975400228656,0,C,C,0
141,31,T1,,High Shade,877,13,3,1.9069825537401786,NA,C,NA,0
141,60,T2,NA,High Shade,877,13,3,1.902864767153674,0,C,C,0
141,0,T0,NA,High Shade,877,13,3,1.9069124212367634,0,C,C,0
142,60,T2,NA,Low Shade,UNKNOWN1,17,14,3.5892709516702546,0,C,C,0
142,31,T1,,Low Shade,UNKNOWN1,17,14,3.4903802638246306,NA,C,NA,0
142,0,T0,NA,Low Shade,UNKNOWN1,17,14,3.4437555934840627,NA,C,NA,0
144,0,T0,NA,Medium Shade,UNKNOWN2,17,15,1.44587666470561,0,C,C,NA
144,31,T1,,Medium Shade,UNKNOWN2,17,15,1.4539975926981448,NA,C,NA,NA
144,60,T2,NA,Medium Shade,UNKNOWN2,17,15,1.4721138251687553,NA,C,NA,NA
146,31,T1,,Medium Shade,861,16,11,5.553166742734033,NA,C,NA,0
146,60,T2,NA,Medium Shade,861,16,11,5.581212599956717,0,C,C,0
146,1,T0,NA,Medium Shade,861,16,11,5.5023697779048195,0,C,C,0
147,31,T1,,Low Shade,861,17,14,3.2659079188487308,NA,C,NA,0
147,60,T2,NA,Low Shade,861,17,14,3.3526803669010907,0.01996426655464189,C,CD,0
147,1,T0,NA,Low Shade,861,17,14,3.255732135730943,0,C,C,0
148,1,T0,NA,Natural,861,14,5,2.0181449639166313,0,C,C,0
148,31,T1,,Natural,861,14,5,2.169848988954078,NA,C,NA,0
148,60,T2,NA,Natural,861,14,5,2.4286612185773073,NA,C,NA,0
149,1,T0,NA,High Shade,861,13,3,2.192058211273457,0,C,C,0
149,31,T1,,High Shade,861,13,3,2.1961681266801567,NA,C,NA,20
149,60,T2,NA,High Shade,861,13,3,3.563106033617366,NA,C,NA,100
150,60,T2,NA,Medium Shade,899,14,8,2.2021586234709893,0,C,C,0
150,1,T0,NA,Medium Shade,899,14,8,2.1880023850261394,0,C,C,0
150,31,T1,,Medium Shade,899,14,8,2.2103457212784225,NA,C,NA,NA
151,60,T2,NA,High Shade,899,17,16,2.0120389795918183,NA,C,NA,20
151,1,T0,NA,High Shade,899,17,16,2.01005354318376,0,C,C,0
151,31,T1,,High Shade,899,17,16,2.0121443937739683,NA,C,NA,0
153,31,T1,,Low Shade,899,16,10,3.8504015863854057,NA,C,NA,0
153,0,T0,NA,Low Shade,899,16,10,3.700587328473869,0,C,C,0
153,60,T2,NA,Low Shade,899,16,10,4.202086979037292,0,C,C,0
154,1,T0,NA,Medium Shade,860,14,8,4.43061535530815,0,C,C,20
154,31,T1,,Medium Shade,860,14,8,4.442944265315973,NA,C,NA,NA
154,60,T2,NA,Medium Shade,860,14,8,4.475085824259454,NA,C,NA,25
