Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\gatescorallab\Desktop\TaqMan_Std.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE
G3,278,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G4,278,C,UNKNOWN,VIC,NFQ-MGB,24.44990921,24.34582901,0.147191629,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G4,278,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G5,280,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G5,280,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G6,280,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G6,280,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G7,219,C,UNKNOWN,VIC,NFQ-MGB,34.61687088,35.49635696,1.24378109,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
G7,219,D,UNKNOWN,FAM,NFQ-MGB,37.97388458,37.97388458,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
G8,219,C,UNKNOWN,VIC,NFQ-MGB,36.37584305,35.49635696,1.24378109,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
G8,219,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.97388458,,,,,FALSE,0.01,FALSE,6,20,,Y,Y,N
G9,201,C,UNKNOWN,VIC,NFQ-MGB,24.25862694,24.23106384,0.038981453,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G9,201,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G10,201,C,UNKNOWN,VIC,NFQ-MGB,24.20349884,24.23106384,0.038981453,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G10,201,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G11,264,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G11,264,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G12,264,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
G12,264,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,6,20,,N,Y,N
H1,,,,,,,,,,,,,,,,,,N,N,N
